date,country,country_name,sex,sex_qf,age_group,age_group_qf,daily_positive,cumulative_positive,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative
2020-03-03,S92000003,Scotland,Total,d,0 to 59,NA,3,6,0,NA,0,NA,0,NA,3,6,0,0,0,0
2020-03-03,S92000003,Scotland,Total,d,25 to 44,NA,2,3,0,NA,0,NA,0,NA,2,3,0,0,0,0
2020-03-03,S92000003,Scotland,Total,d,45 to 64,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-03,S92000003,Scotland,Total,d,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-03,S92000003,Scotland,Total,d,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-03,S92000003,Scotland,Total,d,Total,d,3,7,0,NA,0,NA,0,NA,3,7,0,0,0,0
2020-03-04,S92000003,Scotland,Female,NA,0 to 59,NA,3,3,0,NA,0,NA,0,NA,3,3,0,0,0,0
2020-03-04,S92000003,Scotland,Female,NA,25 to 44,NA,2,2,0,NA,0,NA,0,NA,2,2,0,0,0,0
2020-03-04,S92000003,Scotland,Female,NA,45 to 64,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-04,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-04,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-04,S92000003,Scotland,Female,NA,Total,d,3,4,0,NA,0,NA,0,NA,3,4,0,0,0,0
2020-03-04,S92000003,Scotland,Male,NA,0 to 59,NA,3,9,0,NA,0,NA,0,NA,3,9,0,0,0,0
2020-03-04,S92000003,Scotland,Male,NA,25 to 44,NA,2,5,0,NA,0,NA,0,NA,2,5,0,0,0,0
2020-03-04,S92000003,Scotland,Male,NA,45 to 64,NA,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-04,S92000003,Scotland,Male,NA,Total,d,3,9,0,NA,0,NA,0,NA,3,9,0,0,0,0
2020-03-04,S92000003,Scotland,Total,d,0 to 59,NA,6,12,0,NA,0,NA,0,NA,6,12,0,0,0,0
2020-03-04,S92000003,Scotland,Total,d,25 to 44,NA,4,7,0,NA,0,NA,0,NA,4,7,0,0,0,0
2020-03-04,S92000003,Scotland,Total,d,45 to 64,NA,2,5,0,NA,0,NA,0,NA,2,5,0,0,0,0
2020-03-04,S92000003,Scotland,Total,d,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-04,S92000003,Scotland,Total,d,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-04,S92000003,Scotland,Total,d,Total,d,6,13,0,NA,0,NA,0,NA,6,13,0,0,0,0
2020-03-05,S92000003,Scotland,Female,NA,0 to 59,NA,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-05,S92000003,Scotland,Female,NA,20 to 24,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-05,S92000003,Scotland,Female,NA,25 to 44,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-05,S92000003,Scotland,Female,NA,45 to 64,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-05,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-05,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-05,S92000003,Scotland,Female,NA,Total,d,1,5,0,NA,0,NA,0,NA,1,5,0,0,0,0
2020-03-05,S92000003,Scotland,Male,NA,0 to 59,NA,1,10,0,NA,0,NA,0,NA,1,10,0,0,0,0
2020-03-05,S92000003,Scotland,Male,NA,25 to 44,NA,0,5,0,NA,0,NA,0,NA,0,5,0,0,NA,0
2020-03-05,S92000003,Scotland,Male,NA,45 to 64,NA,1,5,0,NA,0,NA,0,NA,1,5,0,0,0,0
2020-03-05,S92000003,Scotland,Male,NA,Total,d,1,10,0,NA,0,NA,0,NA,1,10,0,0,0,0
2020-03-05,S92000003,Scotland,Total,d,0 to 59,NA,2,14,0,NA,0,NA,0,NA,2,14,0,0,0,0
2020-03-05,S92000003,Scotland,Total,d,20 to 24,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-05,S92000003,Scotland,Total,d,25 to 44,NA,0,7,0,NA,0,NA,0,NA,0,7,0,0,NA,0
2020-03-05,S92000003,Scotland,Total,d,45 to 64,NA,1,6,0,NA,0,NA,0,NA,1,6,0,0,0,0
2020-03-05,S92000003,Scotland,Total,d,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-05,S92000003,Scotland,Total,d,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-05,S92000003,Scotland,Total,d,Total,d,2,15,0,NA,0,NA,0,NA,2,15,0,0,0,0
2020-03-06,S92000003,Scotland,Female,NA,0 to 59,NA,3,7,0,NA,0,NA,0,NA,3,7,0,0,0,0
2020-03-06,S92000003,Scotland,Female,NA,20 to 24,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-06,S92000003,Scotland,Female,NA,25 to 44,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-06,S92000003,Scotland,Female,NA,45 to 64,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-06,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-06,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-06,S92000003,Scotland,Female,NA,Total,d,3,8,0,NA,0,NA,0,NA,3,8,0,0,0,0
2020-03-06,S92000003,Scotland,Male,NA,0 to 59,NA,2,12,0,NA,0,NA,0,NA,2,12,0,0,0,0
2020-03-06,S92000003,Scotland,Male,NA,25 to 44,NA,1,6,0,NA,0,NA,0,NA,1,6,0,0,0,0
2020-03-06,S92000003,Scotland,Male,NA,45 to 64,NA,1,6,0,NA,0,NA,0,NA,1,6,0,0,0,0
2020-03-06,S92000003,Scotland,Male,NA,60+,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-06,S92000003,Scotland,Male,NA,65 to 74,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-06,S92000003,Scotland,Male,NA,Total,d,3,13,0,NA,0,NA,0,NA,3,13,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,0 to 59,NA,5,19,0,NA,0,NA,0,NA,5,19,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,20 to 24,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,25 to 44,NA,2,9,0,NA,0,NA,0,NA,2,9,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,45 to 64,NA,2,8,0,NA,0,NA,0,NA,2,8,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,60+,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,65 to 74,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-06,S92000003,Scotland,Total,d,Total,d,6,21,0,NA,0,NA,0,NA,6,21,0,0,0,0
2020-03-07,S92000003,Scotland,Female,NA,0 to 59,NA,2,9,0,NA,0,NA,0,NA,2,9,0,0,0,0
2020-03-07,S92000003,Scotland,Female,NA,20 to 24,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-07,S92000003,Scotland,Female,NA,25 to 44,NA,0,3,0,NA,0,NA,0,NA,0,3,0,0,NA,0
2020-03-07,S92000003,Scotland,Female,NA,45 to 64,NA,2,4,0,NA,0,NA,0,NA,2,4,0,0,0,0
2020-03-07,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-07,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-07,S92000003,Scotland,Female,NA,Total,d,2,10,0,NA,0,NA,0,NA,2,10,0,0,0,0
2020-03-07,S92000003,Scotland,Male,NA,0 to 59,NA,3,15,0,NA,0,NA,0,NA,3,15,0,0,0,0
2020-03-07,S92000003,Scotland,Male,NA,25 to 44,NA,2,8,0,NA,0,NA,0,NA,2,8,0,0,0,0
2020-03-07,S92000003,Scotland,Male,NA,45 to 64,NA,1,7,0,NA,0,NA,0,NA,1,7,0,0,0,0
2020-03-07,S92000003,Scotland,Male,NA,60+,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-07,S92000003,Scotland,Male,NA,65 to 74,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-07,S92000003,Scotland,Male,NA,Total,d,4,17,0,NA,0,NA,0,NA,4,17,0,0,0,0
2020-03-07,S92000003,Scotland,Total,d,0 to 59,NA,5,24,0,NA,0,NA,0,NA,5,24,0,0,0,0
2020-03-07,S92000003,Scotland,Total,d,20 to 24,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-07,S92000003,Scotland,Total,d,25 to 44,NA,2,11,0,NA,0,NA,0,NA,2,11,0,0,0,0
2020-03-07,S92000003,Scotland,Total,d,45 to 64,NA,3,11,0,NA,0,NA,0,NA,3,11,0,0,0,0
2020-03-07,S92000003,Scotland,Total,d,60+,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-07,S92000003,Scotland,Total,d,65 to 74,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-07,S92000003,Scotland,Total,d,Total,d,6,27,0,NA,0,NA,0,NA,6,27,0,0,0,0
2020-03-08,S92000003,Scotland,Female,NA,0 to 59,NA,0,9,0,NA,0,NA,0,NA,0,9,0,0,NA,0
2020-03-08,S92000003,Scotland,Female,NA,20 to 24,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-08,S92000003,Scotland,Female,NA,25 to 44,NA,0,3,0,NA,0,NA,0,NA,0,3,0,0,NA,0
2020-03-08,S92000003,Scotland,Female,NA,45 to 64,NA,0,4,0,NA,0,NA,0,NA,0,4,0,0,NA,0
2020-03-08,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-08,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-08,S92000003,Scotland,Female,NA,Total,d,0,10,0,NA,0,NA,0,NA,0,10,0,0,NA,0
2020-03-08,S92000003,Scotland,Male,NA,0 to 59,NA,2,17,0,NA,0,NA,0,NA,2,17,0,0,0,0
2020-03-08,S92000003,Scotland,Male,NA,25 to 44,NA,2,10,0,NA,0,NA,0,NA,2,10,0,0,0,0
2020-03-08,S92000003,Scotland,Male,NA,45 to 64,NA,0,7,0,NA,0,NA,0,NA,0,7,0,0,NA,0
2020-03-08,S92000003,Scotland,Male,NA,60+,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-08,S92000003,Scotland,Male,NA,65 to 74,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-08,S92000003,Scotland,Male,NA,Total,d,3,20,0,NA,0,NA,0,NA,3,20,0,0,0,0
2020-03-08,S92000003,Scotland,Total,d,0 to 59,NA,2,26,0,NA,0,NA,0,NA,2,26,0,0,0,0
2020-03-08,S92000003,Scotland,Total,d,20 to 24,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-08,S92000003,Scotland,Total,d,25 to 44,NA,2,13,0,NA,0,NA,0,NA,2,13,0,0,0,0
2020-03-08,S92000003,Scotland,Total,d,45 to 64,NA,0,11,0,NA,0,NA,0,NA,0,11,0,0,NA,0
2020-03-08,S92000003,Scotland,Total,d,60+,NA,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-08,S92000003,Scotland,Total,d,65 to 74,NA,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-08,S92000003,Scotland,Total,d,Total,d,3,30,0,NA,0,NA,0,NA,3,30,0,0,0,0
2020-03-09,S92000003,Scotland,Female,NA,0 to 59,NA,2,11,0,NA,0,NA,0,NA,2,11,0,0,0,0
2020-03-09,S92000003,Scotland,Female,NA,20 to 24,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-09,S92000003,Scotland,Female,NA,25 to 44,NA,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-09,S92000003,Scotland,Female,NA,45 to 64,NA,2,6,0,NA,0,NA,0,NA,2,6,0,0,0,0
2020-03-09,S92000003,Scotland,Female,NA,60+,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-09,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-09,S92000003,Scotland,Female,NA,Total,d,3,13,0,NA,0,NA,0,NA,3,13,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,0 to 59,NA,9,26,0,NA,0,NA,0,NA,9,26,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,15 to 19,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,20 to 24,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,25 to 44,NA,5,15,0,NA,0,NA,0,NA,5,15,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,45 to 64,NA,4,11,0,NA,0,NA,0,NA,4,11,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,60+,NA,4,7,0,NA,0,NA,0,NA,4,7,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,65 to 74,NA,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,75 to 84,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-09,S92000003,Scotland,Male,NA,Total,d,13,33,0,NA,0,NA,0,NA,13,33,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,0 to 59,NA,11,37,0,NA,0,NA,0,NA,11,37,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,15 to 19,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,20 to 24,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,25 to 44,NA,6,19,0,NA,0,NA,0,NA,6,19,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,45 to 64,NA,6,17,0,NA,0,NA,0,NA,6,17,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,60+,NA,5,9,0,NA,0,NA,0,NA,5,9,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,65 to 74,NA,1,5,0,NA,0,NA,0,NA,1,5,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,75 to 84,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-09,S92000003,Scotland,Total,d,Total,d,16,46,0,NA,0,NA,0,NA,16,46,0,0,0,0
2020-03-10,S92000003,Scotland,Female,NA,0 to 59,NA,9,20,0,NA,0,NA,0,NA,9,20,0,0,0,0
2020-03-10,S92000003,Scotland,Female,NA,20 to 24,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-10,S92000003,Scotland,Female,NA,25 to 44,NA,2,6,0,NA,0,NA,0,NA,2,6,0,0,0,0
2020-03-10,S92000003,Scotland,Female,NA,45 to 64,NA,7,13,0,NA,0,NA,0,NA,7,13,0,0,0,0
2020-03-10,S92000003,Scotland,Female,NA,60+,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-10,S92000003,Scotland,Female,NA,65 to 74,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-10,S92000003,Scotland,Female,NA,Total,d,10,23,0,NA,0,NA,0,NA,10,23,0,0,0,0
2020-03-10,S92000003,Scotland,Male,NA,0 to 59,NA,10,36,0,NA,0,NA,0,NA,10,36,0,0,0,0
2020-03-10,S92000003,Scotland,Male,NA,15 to 19,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-10,S92000003,Scotland,Male,NA,20 to 24,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-10,S92000003,Scotland,Male,NA,25 to 44,NA,7,22,0,NA,0,NA,0,NA,7,22,0,0,0,0
2020-03-10,S92000003,Scotland,Male,NA,45 to 64,NA,4,15,0,NA,0,NA,0,NA,4,15,0,0,0,0
2020-03-10,S92000003,Scotland,Male,NA,60+,NA,1,8,0,NA,0,NA,0,NA,1,8,0,0,0,0
2020-03-10,S92000003,Scotland,Male,NA,65 to 74,NA,0,4,0,NA,0,NA,0,NA,0,4,0,0,NA,0
2020-03-10,S92000003,Scotland,Male,NA,75 to 84,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-10,S92000003,Scotland,Male,NA,Total,d,11,44,0,NA,0,NA,0,NA,11,44,0,0,0,0
2020-03-10,S92000003,Scotland,Total,d,0 to 59,NA,19,56,0,NA,0,NA,0,NA,19,56,0,0,0,0
2020-03-10,S92000003,Scotland,Total,d,15 to 19,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-10,S92000003,Scotland,Total,d,20 to 24,NA,0,3,0,NA,0,NA,0,NA,0,3,0,0,NA,0
2020-03-10,S92000003,Scotland,Total,d,25 to 44,NA,9,28,0,NA,0,NA,0,NA,9,28,0,0,0,0
2020-03-10,S92000003,Scotland,Total,d,45 to 64,NA,11,28,0,NA,0,NA,0,NA,11,28,0,0,0,0
2020-03-10,S92000003,Scotland,Total,d,60+,NA,2,11,0,NA,0,NA,0,NA,2,11,0,0,0,0
2020-03-10,S92000003,Scotland,Total,d,65 to 74,NA,1,6,0,NA,0,NA,0,NA,1,6,0,0,0,0
