hb,sex,age,year,population
S08000020,Female,0-9 years,2021,29578
S08000020,Female,10-19 years,2017,29045
S08000020,Female,10-19 years,2018,29200
S08000020,Female,10-19 years,2019,29669
S08000020,Female,10-19 years,2020,30210
S08000020,Female,10-19 years,2021,30794
S08000020,Female,20-29 years,2017,39665
S08000020,Female,20-29 years,2018,38150
S08000020,Female,20-29 years,2019,37145
S08000020,Female,20-29 years,2020,35999
S08000020,Female,20-29 years,2021,34454
S08000020,Female,30-39 years,2017,39792
S08000020,Female,30-39 years,2018,40058
S08000020,Female,30-39 years,2019,40402
S08000020,Female,30-39 years,2020,40545
S08000020,Female,30-39 years,2021,40853
S08000020,Female,40-49 years,2017,39270
S08000020,Female,40-49 years,2018,38653
S08000020,Female,40-49 years,2019,38030
S08000020,Female,40-49 years,2020,37881
S08000020,Female,40-49 years,2021,37709
S08000020,Female,50-59 years,2017,41296
S08000020,Female,50-59 years,2018,41329
S08000020,Female,50-59 years,2019,41702
S08000020,Female,50-59 years,2020,41866
S08000020,Female,50-59 years,2021,42284
S08000020,Female,60-69 years,2017,33839
S08000020,Female,60-69 years,2018,33972
S08000020,Female,60-69 years,2019,34175
S08000020,Female,60-69 years,2020,34615
S08000020,Female,60-69 years,2021,35262
S08000020,Female,70-79 years,2017,24210
S08000020,Female,70-79 years,2018,25002
S08000020,Female,70-79 years,2019,25844
S08000020,Female,70-79 years,2020,26435
S08000020,Female,70-79 years,2021,27125
S08000020,Female,80-89 years,2017,13225
S08000020,Female,80-89 years,2018,13361
S08000020,Female,80-89 years,2019,13560
S08000020,Female,80-89 years,2020,13711
S08000020,Female,80-89 years,2021,13843
S08000020,Female,90 years and over,2017,2931
S08000020,Female,90 years and over,2018,3003
S08000020,Female,90 years and over,2019,3105
S08000020,Female,90 years and over,2020,3098
S08000020,Female,90 years and over,2021,3206
S08000020,Female,All ages,2017,294723
S08000020,Female,All ages,2018,293822
S08000020,Female,All ages,2019,294417
S08000020,Female,All ages,2020,294500
S08000020,Female,All ages,2021,295108
S08000020,Male,0-9 years,2017,33174
S08000020,Male,0-9 years,2018,32704
S08000020,Male,0-9 years,2019,32399
S08000020,Male,0-9 years,2020,31778
S08000020,Male,0-9 years,2021,31074
S08000020,Male,10-19 years,2017,30622
S08000020,Male,10-19 years,2018,30810
S08000020,Male,10-19 years,2019,31101
S08000020,Male,10-19 years,2020,31542
S08000020,Male,10-19 years,2021,32372
S08000020,Male,20-29 years,2017,42023
S08000020,Male,20-29 years,2018,40423
S08000020,Male,20-29 years,2019,39113
S08000020,Male,20-29 years,2020,37835
S08000020,Male,20-29 years,2021,35960
S08000020,Male,30-39 years,2017,40843
S08000020,Male,30-39 years,2018,41360
S08000020,Male,30-39 years,2019,41958
S08000020,Male,30-39 years,2020,42157
S08000020,Male,30-39 years,2021,42458
S08000020,Male,40-49 years,2017,39486
S08000020,Male,40-49 years,2018,38631
S08000020,Male,40-49 years,2019,38471
S08000020,Male,40-49 years,2020,38479
S08000020,Male,40-49 years,2021,38715
S08000020,Male,50-59 years,2017,40550
S08000020,Male,50-59 years,2018,40591
S08000020,Male,50-59 years,2019,40860
S08000020,Male,50-59 years,2020,40705
S08000020,Male,50-59 years,2021,40782
S08000020,Male,60-69 years,2017,33401
S08000020,Male,60-69 years,2018,33442
S08000020,Male,60-69 years,2019,33415
S08000020,Male,60-69 years,2020,33712
S08000020,Male,60-69 years,2021,34185
S08000020,Male,70-79 years,2017,21174
S08000020,Male,70-79 years,2018,22120
S08000020,Male,70-79 years,2019,23034
S08000020,Male,70-79 years,2020,23710
S08000020,Male,70-79 years,2021,24552
S08000020,Male,80-89 years,2017,9043
S08000020,Male,80-89 years,2018,9269
S08000020,Male,80-89 years,2019,9504
S08000020,Male,80-89 years,2020,9678
S08000020,Male,80-89 years,2021,9813
S08000020,Male,90 years and over,2017,1341
S08000020,Male,90 years and over,2018,1378
S08000020,Male,90 years and over,2019,1428
S08000020,Male,90 years and over,2020,1454
S08000020,Male,90 years and over,2021,1511
S08000020,Male,All ages,2017,291657
S08000020,Male,All ages,2018,290728
S08000020,Male,All ages,2019,291283
S08000020,Male,All ages,2020,291050
S08000020,Male,All ages,2021,291422
S08000022,All,0-9 years,2017,32314
S08000022,All,0-9 years,2018,31683
S08000022,All,0-9 years,2019,30873
S08000022,All,0-9 years,2020,30065
S08000022,All,0-9 years,2021,29480
S08000022,All,10-19 years,2017,34117
S08000022,All,10-19 years,2018,34116
S08000022,All,10-19 years,2019,34047
S08000022,All,10-19 years,2020,34077
S08000022,All,10-19 years,2021,34433
S08000022,All,20-29 years,2017,33200
S08000022,All,20-29 years,2018,32937
S08000022,All,20-29 years,2019,32934
S08000022,All,20-29 years,2020,32590
S08000022,All,20-29 years,2021,33237
S08000022,All,30-39 years,2017,35082
S08000022,All,30-39 years,2018,35391
S08000022,All,30-39 years,2019,35529
S08000022,All,30-39 years,2020,35223
S08000022,All,30-39 years,2021,35606
S08000022,All,40-49 years,2017,41159
S08000022,All,40-49 years,2018,39771
S08000022,All,40-49 years,2019,38885
S08000022,All,40-49 years,2020,38221
S08000022,All,40-49 years,2021,38215
S08000022,All,50-59 years,2017,50425
S08000022,All,50-59 years,2018,50872
S08000022,All,50-59 years,2019,50748
S08000022,All,50-59 years,2020,50558
S08000022,All,50-59 years,2021,50815
S08000022,All,60-69 years,2017,45231
S08000022,All,60-69 years,2018,44949
S08000022,All,60-69 years,2019,44996
S08000022,All,60-69 years,2020,45282
S08000022,All,60-69 years,2021,46287
S08000022,All,70-79 years,2017,32500
S08000022,All,70-79 years,2018,33706
S08000022,All,70-79 years,2019,34822
S08000022,All,70-79 years,2020,35608
S08000022,All,70-79 years,2021,36579
S08000022,All,80-89 years,2017,15082
S08000022,All,80-89 years,2018,15505
S08000022,All,80-89 years,2019,15900
S08000022,All,80-89 years,2020,16221
S08000022,All,80-89 years,2021,16478
S08000022,All,90 years and over,2017,2880
S08000022,All,90 years and over,2018,2870
S08000022,All,90 years and over,2019,2966
S08000022,All,90 years and over,2020,3015
S08000022,All,90 years and over,2021,3150
S08000022,All,All ages,2017,321990
S08000022,All,All ages,2018,321800
S08000022,All,All ages,2019,321700
S08000022,All,All ages,2020,320860
S08000022,All,All ages,2021,324280
S08000022,Female,0-9 years,2017,15734
S08000022,Female,0-9 years,2018,15427
S08000022,Female,0-9 years,2019,15040
S08000022,Female,0-9 years,2020,14603
S08000022,Female,0-9 years,2021,14358
S08000022,Female,10-19 years,2017,16387
S08000022,Female,10-19 years,2018,16417
S08000022,Female,10-19 years,2019,16359
S08000022,Female,10-19 years,2020,16420
S08000022,Female,10-19 years,2021,16619
S08000022,Female,20-29 years,2017,15395
S08000022,Female,20-29 years,2018,15244
S08000022,Female,20-29 years,2019,15155
S08000022,Female,20-29 years,2020,14835
S08000022,Female,20-29 years,2021,15140
S08000022,Female,30-39 years,2017,17755
S08000022,Female,30-39 years,2018,17941
S08000022,Female,30-39 years,2019,18042
S08000022,Female,30-39 years,2020,17860
S08000022,Female,30-39 years,2021,18021
S08000022,Female,40-49 years,2017,21506
S08000022,Female,40-49 years,2018,20732
S08000022,Female,40-49 years,2019,20235
S08000022,Female,40-49 years,2020,19694
S08000022,Female,40-49 years,2021,19638
S08000022,Female,50-59 years,2017,25856
S08000022,Female,50-59 years,2018,26075
S08000022,Female,50-59 years,2019,26083
S08000022,Female,50-59 years,2020,26193
S08000022,Female,50-59 years,2021,26357
S08000022,Female,60-69 years,2017,22940
S08000022,Female,60-69 years,2018,22834
S08000022,Female,60-69 years,2019,22965
S08000022,Female,60-69 years,2020,23073
S08000022,Female,60-69 years,2021,23592
S08000022,Female,70-79 years,2017,17179
S08000022,Female,70-79 years,2018,17763
S08000022,Female,70-79 years,2019,18232
S08000022,Female,70-79 years,2020,18627
S08000022,Female,70-79 years,2021,19078
S08000022,Female,80-89 years,2017,8897
S08000022,Female,80-89 years,2018,9060
S08000022,Female,80-89 years,2019,9265
S08000022,Female,80-89 years,2020,9406
S08000022,Female,80-89 years,2021,9567
S08000022,Female,90 years and over,2017,2035
S08000022,Female,90 years and over,2018,2000
S08000022,Female,90 years and over,2019,2013
S08000022,Female,90 years and over,2020,1996
S08000022,Female,90 years and over,2021,2077
S08000022,Female,All ages,2017,163684
S08000022,Female,All ages,2018,163493
S08000022,Female,All ages,2019,163389
S08000022,Female,All ages,2020,162707
S08000022,Female,All ages,2021,164447
S08000022,Male,0-9 years,2017,16580
S08000022,Male,0-9 years,2018,16256
S08000022,Male,0-9 years,2019,15833
S08000022,Male,0-9 years,2020,15462
S08000022,Male,0-9 years,2021,15122
S08000022,Male,10-19 years,2017,17730
S08000022,Male,10-19 years,2018,17699
S08000022,Male,10-19 years,2019,17688
S08000022,Male,10-19 years,2020,17657
S08000022,Male,10-19 years,2021,17814
S08000022,Male,20-29 years,2017,17805
S08000022,Male,20-29 years,2018,17693
S08000022,Male,20-29 years,2019,17779
S08000022,Male,20-29 years,2020,17755
S08000022,Male,20-29 years,2021,18097
S08000022,Male,30-39 years,2017,17327
S08000022,Male,30-39 years,2018,17450
S08000022,Male,30-39 years,2019,17487
S08000022,Male,30-39 years,2020,17363
S08000022,Male,30-39 years,2021,17585
S08000022,Male,40-49 years,2017,19653
S08000022,Male,40-49 years,2018,19039
S08000022,Male,40-49 years,2019,18650
S08000022,Male,40-49 years,2020,18527
S08000022,Male,40-49 years,2021,18577
S08000022,Male,50-59 years,2017,24569
S08000022,Male,50-59 years,2018,24797
S08000022,Male,50-59 years,2019,24665
S08000022,Male,50-59 years,2020,24365
S08000022,Male,50-59 years,2021,24458
S08000022,Male,60-69 years,2017,22291
S08000022,Male,60-69 years,2018,22115
S08000022,Male,60-69 years,2019,22031
S08000022,Male,60-69 years,2020,22209
S08000022,Male,60-69 years,2021,22695
S08000022,Male,70-79 years,2017,15321
S08000022,Male,70-79 years,2018,15943
S08000022,Male,70-79 years,2019,16590
S08000022,Male,70-79 years,2020,16981
S08000022,Male,70-79 years,2021,17501
S08000022,Male,80-89 years,2017,6185
S08000022,Male,80-89 years,2018,6445
S08000022,Male,80-89 years,2019,6635
S08000022,Male,80-89 years,2020,6815
S08000022,Male,80-89 years,2021,6911
S08000022,Male,90 years and over,2017,845
S08000022,Male,90 years and over,2018,870
S08000022,Male,90 years and over,2019,953
S08000022,Male,90 years and over,2020,1019
S08000022,Male,90 years and over,2021,1073
S08000022,Male,All ages,2017,158306
S08000022,Male,All ages,2018,158307
S08000022,Male,All ages,2019,158311
S08000022,Male,All ages,2020,158153
S08000022,Male,All ages,2021,159833
S08000024,All,0-9 years,2017,97885
S08000024,All,0-9 years,2018,97187
S08000024,All,0-9 years,2019,96184
S08000024,All,0-9 years,2020,94787
S08000024,All,0-9 years,2021,92659
S08000024,All,10-19 years,2017,89190
S08000024,All,10-19 years,2018,90598
S08000024,All,10-19 years,2019,92151
S08000024,All,10-19 years,2020,93253
S08000024,All,10-19 years,2021,95278
S08000024,All,20-29 years,2017,143301
S08000024,All,20-29 years,2018,143167
S08000024,All,20-29 years,2019,142759
S08000024,All,20-29 years,2020,140526
S08000024,All,20-29 years,2021,135294
S08000024,All,30-39 years,2017,131947
S08000024,All,30-39 years,2018,136400
S08000024,All,30-39 years,2019,140736
S08000024,All,30-39 years,2020,143990
S08000024,All,30-39 years,2021,148305
S08000024,All,40-49 years,2017,118282
S08000024,All,40-49 years,2018,116872
S08000024,All,40-49 years,2019,117186
S08000024,All,40-49 years,2020,117765
S08000024,All,40-49 years,2021,118094
S08000024,All,50-59 years,2017,117904
S08000024,All,50-59 years,2018,119118
S08000024,All,50-59 years,2019,119844
S08000024,All,50-59 years,2020,120104
S08000024,All,50-59 years,2021,120225
S08000024,All,60-69 years,2017,90555
S08000024,All,60-69 years,2018,91145
S08000024,All,60-69 years,2019,92511
S08000024,All,60-69 years,2020,94170
S08000024,All,60-69 years,2021,96349
S08000024,All,70-79 years,2017,62585
S08000024,All,70-79 years,2018,64835
S08000024,All,70-79 years,2019,66913
S08000024,All,70-79 years,2020,68565
S08000024,All,70-79 years,2021,70200
S08000024,All,80-89 years,2017,31434
S08000024,All,80-89 years,2018,32035
S08000024,All,80-89 years,2019,32616
S08000024,All,80-89 years,2020,32679
S08000024,All,80-89 years,2021,32930
S08000024,All,90 years and over,2017,6367
S08000024,All,90 years and over,2018,6413
S08000024,All,90 years and over,2019,6680
S08000024,All,90 years and over,2020,6651
S08000024,All,90 years and over,2021,6976
S08000024,All,All ages,2017,889450
S08000024,All,All ages,2018,897770
S08000024,All,All ages,2019,907580
S08000024,All,All ages,2020,912490
S08000024,All,All ages,2021,916310
S08000024,Female,0-9 years,2017,47891
S08000024,Female,0-9 years,2018,47464
S08000024,Female,0-9 years,2019,46796
S08000024,Female,0-9 years,2020,46095
S08000024,Female,0-9 years,2021,45118
S08000024,Female,10-19 years,2017,43767
S08000024,Female,10-19 years,2018,44418
S08000024,Female,10-19 years,2019,45208
S08000024,Female,10-19 years,2020,45674
S08000024,Female,10-19 years,2021,46652
S08000024,Female,20-29 years,2017,74396
S08000024,Female,20-29 years,2018,74184
S08000024,Female,20-29 years,2019,73862
S08000024,Female,20-29 years,2020,72718
S08000024,Female,20-29 years,2021,69971
S08000024,Female,30-39 years,2017,67117
S08000024,Female,30-39 years,2018,69304
S08000024,Female,30-39 years,2019,71596
S08000024,Female,30-39 years,2020,73364
S08000024,Female,30-39 years,2021,75486
S08000024,Female,40-49 years,2017,59587
S08000024,Female,40-49 years,2018,58831
S08000024,Female,40-49 years,2019,58809
S08000024,Female,40-49 years,2020,59029
S08000024,Female,40-49 years,2021,59243
S08000024,Female,50-59 years,2017,59871
S08000024,Female,50-59 years,2018,60599
S08000024,Female,50-59 years,2019,60985
S08000024,Female,50-59 years,2020,61099
S08000024,Female,50-59 years,2021,61326
S08000024,Female,60-69 years,2017,46784
S08000024,Female,60-69 years,2018,47047
S08000024,Female,60-69 years,2019,47849
S08000024,Female,60-69 years,2020,48749
S08000024,Female,60-69 years,2021,49847
S08000024,Female,70-79 years,2017,34130
S08000024,Female,70-79 years,2018,35268
S08000024,Female,70-79 years,2019,36244
S08000024,Female,70-79 years,2020,37042
S08000024,Female,70-79 years,2021,37918
S08000024,Female,80-89 years,2017,18960
S08000024,Female,80-89 years,2018,19274
S08000024,Female,80-89 years,2019,19538
S08000024,Female,80-89 years,2020,19517
S08000024,Female,80-89 years,2021,19662
S08000024,Female,90 years and over,2017,4435
S08000024,Female,90 years and over,2018,4442
S08000024,Female,90 years and over,2019,4570
S08000024,Female,90 years and over,2020,4545
S08000024,Female,90 years and over,2021,4697
S08000024,Female,All ages,2017,456938
S08000024,Female,All ages,2018,460831
S08000024,Female,All ages,2019,465457
S08000024,Female,All ages,2020,467832
S08000024,Female,All ages,2021,469920
S08000024,Male,0-9 years,2017,49994
S08000024,Male,0-9 years,2018,49723
S08000024,Male,0-9 years,2019,49388
S08000024,Male,0-9 years,2020,48692
S08000024,Male,0-9 years,2021,47541
S08000024,Male,10-19 years,2017,45423
S08000024,Male,10-19 years,2018,46180
S08000024,Male,10-19 years,2019,46943
S08000024,Male,10-19 years,2020,47579
S08000024,Male,10-19 years,2021,48626
S08000024,Male,20-29 years,2017,68905
S08000024,Male,20-29 years,2018,68983
S08000024,Male,20-29 years,2019,68897
S08000024,Male,20-29 years,2020,67808
S08000024,Male,20-29 years,2021,65323
S08000024,Male,30-39 years,2017,64830
S08000024,Male,30-39 years,2018,67096
S08000024,Male,30-39 years,2019,69140
S08000024,Male,30-39 years,2020,70626
S08000024,Male,30-39 years,2021,72819
S08000024,Male,40-49 years,2017,58695
S08000024,Male,40-49 years,2018,58041
S08000024,Male,40-49 years,2019,58377
S08000024,Male,40-49 years,2020,58736
S08000024,Male,40-49 years,2021,58851
S08000024,Male,50-59 years,2017,58033
S08000024,Male,50-59 years,2018,58519
S08000024,Male,50-59 years,2019,58859
S08000024,Male,50-59 years,2020,59005
S08000024,Male,50-59 years,2021,58899
S08000024,Male,60-69 years,2017,43771
S08000024,Male,60-69 years,2018,44098
S08000024,Male,60-69 years,2019,44662
S08000024,Male,60-69 years,2020,45421
S08000024,Male,60-69 years,2021,46502
S08000024,Male,70-79 years,2017,28455
S08000024,Male,70-79 years,2018,29567
S08000024,Male,70-79 years,2019,30669
S08000024,Male,70-79 years,2020,31523
S08000024,Male,70-79 years,2021,32282
S08000024,Male,80-89 years,2017,12474
S08000024,Male,80-89 years,2018,12761
S08000024,Male,80-89 years,2019,13078
S08000024,Male,80-89 years,2020,13162
S08000024,Male,80-89 years,2021,13268
S08000024,Male,90 years and over,2017,1932
S08000024,Male,90 years and over,2018,1971
S08000024,Male,90 years and over,2019,2110
S08000024,Male,90 years and over,2020,2106
S08000024,Male,90 years and over,2021,2279
S08000024,Male,All ages,2017,432512
S08000024,Male,All ages,2018,436939
S08000024,Male,All ages,2019,442123
S08000024,Male,All ages,2020,444658
S08000024,Male,All ages,2021,446390
S08000025,All,0-9 years,2017,2161
S08000025,All,0-9 years,2018,2122
S08000025,All,0-9 years,2019,2120
S08000025,All,0-9 years,2020,2094
S08000025,All,0-9 years,2021,2057
S08000025,All,10-19 years,2017,2233
S08000025,All,10-19 years,2018,2268
S08000025,All,10-19 years,2019,2273
S08000025,All,10-19 years,2020,2294
S08000025,All,10-19 years,2021,2359
S08000025,All,20-29 years,2017,2311
S08000025,All,20-29 years,2018,2266
S08000025,All,20-29 years,2019,2227
S08000025,All,20-29 years,2020,2170
S08000025,All,20-29 years,2021,2147
S08000025,All,30-39 years,2017,2360
S08000025,All,30-39 years,2018,2456
S08000025,All,30-39 years,2019,2486
S08000025,All,30-39 years,2020,2526
S08000025,All,30-39 years,2021,2566
S08000025,All,40-49 years,2017,2783
S08000025,All,40-49 years,2018,2699
S08000025,All,40-49 years,2019,2684
S08000025,All,40-49 years,2020,2640
S08000025,All,40-49 years,2021,2594
S08000025,All,50-59 years,2017,3487
S08000025,All,50-59 years,2018,3572
S08000025,All,50-59 years,2019,3567
S08000025,All,50-59 years,2020,3587
S08000025,All,50-59 years,2021,3596
S08000025,All,60-69 years,2017,3082
S08000025,All,60-69 years,2018,3097
S08000025,All,60-69 years,2019,3087
S08000025,All,60-69 years,2020,3155
S08000025,All,60-69 years,2021,3176
S08000025,All,70-79 years,2017,2373
S08000025,All,70-79 years,2018,2420
S08000025,All,70-79 years,2019,2497
S08000025,All,70-79 years,2020,2523
S08000025,All,70-79 years,2021,2620
S08000025,All,80-89 years,2017,1012
S08000025,All,80-89 years,2018,1091
S08000025,All,80-89 years,2019,1117
S08000025,All,80-89 years,2020,1171
S08000025,All,80-89 years,2021,1176
S08000025,All,90 years and over,2017,198
S08000025,All,90 years and over,2018,199
S08000025,All,90 years and over,2019,212
S08000025,All,90 years and over,2020,240
S08000025,All,90 years and over,2021,249
S08000025,All,All ages,2017,22000
S08000025,All,All ages,2018,22190
S08000025,All,All ages,2019,22270
S08000025,All,All ages,2020,22400
S08000025,All,All ages,2021,22540
S08000025,Female,0-9 years,2017,1032
S08000025,Female,0-9 years,2018,1007
S08000025,Female,0-9 years,2019,997
S08000025,Female,0-9 years,2020,986
S08000025,Female,0-9 years,2021,962
S08000025,Female,10-19 years,2017,1087
S08000025,Female,10-19 years,2018,1136
S08000025,Female,10-19 years,2019,1132
S08000025,Female,10-19 years,2020,1136
S08000025,Female,10-19 years,2021,1167
S08000025,Female,20-29 years,2017,1098
S08000025,Female,20-29 years,2018,1049
S08000025,Female,20-29 years,2019,1027
S08000025,Female,20-29 years,2020,999
S08000025,Female,20-29 years,2021,1007
S08000025,Female,30-39 years,2017,1235
S08000025,Female,30-39 years,2018,1295
S08000025,Female,30-39 years,2019,1279
S08000025,Female,30-39 years,2020,1295
S08000025,Female,30-39 years,2021,1317
S08000025,Female,40-49 years,2017,1445
S08000025,Female,40-49 years,2018,1393
S08000025,Female,40-49 years,2019,1412
S08000025,Female,40-49 years,2020,1393
S08000025,Female,40-49 years,2021,1364
S08000025,Female,50-59 years,2017,1696
S08000025,Female,50-59 years,2018,1749
S08000025,Female,50-59 years,2019,1765
S08000025,Female,50-59 years,2020,1783
S08000025,Female,50-59 years,2021,1819
S08000025,Female,60-69 years,2017,1552
S08000025,Female,60-69 years,2018,1533
S08000025,Female,60-69 years,2019,1537
S08000025,Female,60-69 years,2020,1551
S08000025,Female,60-69 years,2021,1544
S08000025,Female,70-79 years,2017,1218
S08000025,Female,70-79 years,2018,1255
S08000025,Female,70-79 years,2019,1297
S08000025,Female,70-79 years,2020,1314
S08000025,Female,70-79 years,2021,1368
S08000025,Female,80-89 years,2017,566
S08000025,Female,80-89 years,2018,605
S08000025,Female,80-89 years,2019,600
S08000025,Female,80-89 years,2020,629
S08000025,Female,80-89 years,2021,620
S08000025,Female,90 years and over,2017,126
S08000025,Female,90 years and over,2018,129
S08000025,Female,90 years and over,2019,138
S08000025,Female,90 years and over,2020,155
S08000025,Female,90 years and over,2021,168
S08000025,Female,All ages,2017,11055
S08000025,Female,All ages,2018,11151
S08000025,Female,All ages,2019,11184
S08000025,Female,All ages,2020,11241
S08000025,Female,All ages,2021,11336
S08000025,Male,0-9 years,2017,1129
S08000025,Male,0-9 years,2018,1115
S08000025,Male,0-9 years,2019,1123
S08000025,Male,0-9 years,2020,1108
S08000025,Male,0-9 years,2021,1095
S08000025,Male,10-19 years,2017,1146
S08000025,Male,10-19 years,2018,1132
S08000025,Male,10-19 years,2019,1141
S08000025,Male,10-19 years,2020,1158
S08000025,Male,10-19 years,2021,1192
S08000025,Male,20-29 years,2017,1213
S08000025,Male,20-29 years,2018,1217
S08000025,Male,20-29 years,2019,1200
S08000025,Male,20-29 years,2020,1171
S08000025,Male,20-29 years,2021,1140
S08000025,Male,30-39 years,2017,1125
S08000025,Male,30-39 years,2018,1161
S08000025,Male,30-39 years,2019,1207
S08000025,Male,30-39 years,2020,1231
S08000025,Male,30-39 years,2021,1249
S08000025,Male,40-49 years,2017,1338
S08000025,Male,40-49 years,2018,1306
S08000025,Male,40-49 years,2019,1272
S08000025,Male,40-49 years,2020,1247
S08000025,Male,40-49 years,2021,1230
S08000025,Male,50-59 years,2017,1791
S08000025,Male,50-59 years,2018,1823
S08000025,Male,50-59 years,2019,1802
S08000025,Male,50-59 years,2020,1804
S08000025,Male,50-59 years,2021,1777
S08000025,Male,60-69 years,2017,1530
S08000025,Male,60-69 years,2018,1564
S08000025,Male,60-69 years,2019,1550
S08000025,Male,60-69 years,2020,1604
S08000025,Male,60-69 years,2021,1632
S08000025,Male,70-79 years,2017,1155
S08000025,Male,70-79 years,2018,1165
S08000025,Male,70-79 years,2019,1200
S08000025,Male,70-79 years,2020,1209
S08000025,Male,70-79 years,2021,1252
S08000025,Male,80-89 years,2017,446
S08000025,Male,80-89 years,2018,486
S08000025,Male,80-89 years,2019,517
S08000025,Male,80-89 years,2020,542
S08000025,Male,80-89 years,2021,556
S08000025,Male,90 years and over,2017,72
S08000025,Male,90 years and over,2018,70
S08000025,Male,90 years and over,2019,74
S08000025,Male,90 years and over,2020,85
S08000025,Male,90 years and over,2021,81
S08000025,Male,All ages,2017,10945
S08000025,Male,All ages,2018,11039
S08000025,Male,All ages,2019,11086
S08000025,Male,All ages,2020,11159
S08000025,Male,All ages,2021,11204
S08000026,All,0-9 years,2017,2628
S08000026,All,0-9 years,2018,2600
S08000026,All,0-9 years,2019,2563
S08000026,All,0-9 years,2020,2471
S08000026,All,0-9 years,2021,2384
S08000026,All,10-19 years,2017,2637
S08000026,All,10-19 years,2018,2584
S08000026,All,10-19 years,2019,2577
S08000026,All,10-19 years,2020,2610
S08000026,All,10-19 years,2021,2677
S08000026,All,20-29 years,2017,2543
S08000026,All,20-29 years,2018,2491
S08000026,All,20-29 years,2019,2423
S08000026,All,20-29 years,2020,2406
S08000026,All,20-29 years,2021,2385
S08000026,All,30-39 years,2017,2714
S08000026,All,30-39 years,2018,2769
S08000026,All,30-39 years,2019,2735
S08000026,All,30-39 years,2020,2722
S08000026,All,30-39 years,2021,2697
S08000026,All,40-49 years,2017,3156
S08000026,All,40-49 years,2018,3037
S08000026,All,40-49 years,2019,3007
S08000026,All,40-49 years,2020,2956
S08000026,All,40-49 years,2021,2940
S08000026,All,50-59 years,2017,3406
S08000026,All,50-59 years,2018,3415
S08000026,All,50-59 years,2019,3398
S08000026,All,50-59 years,2020,3417
S08000026,All,50-59 years,2021,3403
S08000026,All,60-69 years,2017,2929
S08000026,All,60-69 years,2018,2926
S08000026,All,60-69 years,2019,2906
S08000026,All,60-69 years,2020,2876
S08000026,All,60-69 years,2021,2939
S08000026,All,70-79 years,2017,2029
S08000026,All,70-79 years,2018,2102
S08000026,All,70-79 years,2019,2206
S08000026,All,70-79 years,2020,2248
S08000026,All,70-79 years,2021,2316
S08000026,All,80-89 years,2017,871
S08000026,All,80-89 years,2018,904
S08000026,All,80-89 years,2019,927
S08000026,All,80-89 years,2020,985
S08000026,All,80-89 years,2021,1007
S08000026,All,90 years and over,2017,167
S08000026,All,90 years and over,2018,162
S08000026,All,90 years and over,2019,178
S08000026,All,90 years and over,2020,179
S08000026,All,90 years and over,2021,192
S08000026,All,All ages,2017,23080
S08000026,All,All ages,2018,22990
S08000026,All,All ages,2019,22920
S08000026,All,All ages,2020,22870
S08000026,All,All ages,2021,22940
S08000026,Female,0-9 years,2017,1249
S08000026,Female,0-9 years,2018,1236
S08000026,Female,0-9 years,2019,1214
S08000026,Female,0-9 years,2020,1189
S08000026,Female,0-9 years,2021,1166
S08000026,Female,10-19 years,2017,1277
S08000026,Female,10-19 years,2018,1233
S08000026,Female,10-19 years,2019,1228
S08000026,Female,10-19 years,2020,1234
S08000026,Female,10-19 years,2021,1247
S08000026,Female,20-29 years,2017,1196
S08000026,Female,20-29 years,2018,1174
S08000026,Female,20-29 years,2019,1139
S08000026,Female,20-29 years,2020,1144
S08000026,Female,20-29 years,2021,1119
S08000026,Female,30-39 years,2017,1331
S08000026,Female,30-39 years,2018,1342
S08000026,Female,30-39 years,2019,1342
S08000026,Female,30-39 years,2020,1340
S08000026,Female,30-39 years,2021,1338
S08000026,Female,40-49 years,2017,1568
S08000026,Female,40-49 years,2018,1510
S08000026,Female,40-49 years,2019,1474
S08000026,Female,40-49 years,2020,1445
S08000026,Female,40-49 years,2021,1428
S08000026,Female,50-59 years,2017,1632
S08000026,Female,50-59 years,2018,1651
S08000026,Female,50-59 years,2019,1660
S08000026,Female,50-59 years,2020,1687
S08000026,Female,50-59 years,2021,1707
S08000026,Female,60-69 years,2017,1447
S08000026,Female,60-69 years,2018,1459
S08000026,Female,60-69 years,2019,1440
S08000026,Female,60-69 years,2020,1428
S08000026,Female,60-69 years,2021,1449
S08000026,Female,70-79 years,2017,1026
S08000026,Female,70-79 years,2018,1050
S08000026,Female,70-79 years,2019,1102
S08000026,Female,70-79 years,2020,1128
S08000026,Female,70-79 years,2021,1163
S08000026,Female,80-89 years,2017,502
S08000026,Female,80-89 years,2018,508
S08000026,Female,80-89 years,2019,510
S08000026,Female,80-89 years,2020,538
S08000026,Female,80-89 years,2021,564
S08000026,Female,90 years and over,2017,121
S08000026,Female,90 years and over,2018,114
S08000026,Female,90 years and over,2019,126
S08000026,Female,90 years and over,2020,125
S08000026,Female,90 years and over,2021,129
S08000026,Female,All ages,2017,11349
S08000026,Female,All ages,2018,11277
S08000026,Female,All ages,2019,11235
S08000026,Female,All ages,2020,11258
S08000026,Female,All ages,2021,11310
S08000026,Male,0-9 years,2017,1379
S08000026,Male,0-9 years,2018,1364
S08000026,Male,0-9 years,2019,1349
S08000026,Male,0-9 years,2020,1282
S08000026,Male,0-9 years,2021,1218
S08000026,Male,10-19 years,2017,1360
S08000026,Male,10-19 years,2018,1351
S08000026,Male,10-19 years,2019,1349
