Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200304,S92000003,Female,"",Total,d,3,4,0,"",0,"",0,"",3,4,0,0,0,0
20200304,S92000003,Male,"",0 to 59,"",3,9,0,"",0,"",0,"",3,9,0,0,0,0
20200304,S92000003,Male,"",25 to 44,"",2,5,0,"",0,"",0,"",2,5,0,0,0,0
20200304,S92000003,Male,"",45 to 64,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200304,S92000003,Male,"",Total,d,3,9,0,"",0,"",0,"",3,9,0,0,0,0
20200304,S92000003,Total,d,0 to 59,"",6,12,0,"",0,"",0,"",6,12,0,0,0,0
20200304,S92000003,Total,d,25 to 44,"",4,7,0,"",0,"",0,"",4,7,0,0,0,0
20200304,S92000003,Total,d,45 to 64,"",2,5,0,"",0,"",0,"",2,5,0,0,0,0
20200304,S92000003,Total,d,60+,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200304,S92000003,Total,d,65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200304,S92000003,Total,d,Total,d,6,13,0,"",0,"",0,"",6,13,0,0,0,0
20200305,S92000003,Female,"",0 to 59,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200305,S92000003,Female,"",20 to 24,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200305,S92000003,Female,"",25 to 44,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200305,S92000003,Female,"",45 to 64,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200305,S92000003,Female,"",60+,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200305,S92000003,Female,"",65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200305,S92000003,Female,"",Total,d,1,5,0,"",0,"",0,"",1,5,0,0,0,0
20200305,S92000003,Male,"",0 to 59,"",1,10,0,"",0,"",0,"",1,10,0,0,0,0
20200305,S92000003,Male,"",25 to 44,"",0,5,0,"",0,"",0,"",0,5,0,0,,0
20200305,S92000003,Male,"",45 to 64,"",1,5,0,"",0,"",0,"",1,5,0,0,0,0
20200305,S92000003,Male,"",Total,d,1,10,0,"",0,"",0,"",1,10,0,0,0,0
20200305,S92000003,Total,d,0 to 59,"",2,14,0,"",0,"",0,"",2,14,0,0,0,0
20200305,S92000003,Total,d,20 to 24,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200305,S92000003,Total,d,25 to 44,"",0,7,0,"",0,"",0,"",0,7,0,0,,0
20200305,S92000003,Total,d,45 to 64,"",1,6,0,"",0,"",0,"",1,6,0,0,0,0
